100	0	200	9	0
100	0	200	5	0
100	0	200	1	0
100	0	200	0	3
100	0	100	9	1
100	0	100	5	0
100	0	100	1	0
100	0	100	0	3
100	0	10	9	2
100	0	10	5	2
100	0	10	1	3
100	0	10	0	3
100	1	200	9	0
100	1	200	5	0
100	1	200	1	0
100	1	200	0	3
100	1	100	9	1
100	1	100	5	0
100	1	100	1	0
100	1	100	0	3
100	1	10	9	2
100	1	10	5	3
100	1	10	1	3
100	1	10	0	3
50	0	200	9	1
50	0	200	5	0
50	0	200	1	0
50	0	200	0	3
50	0	100	9	1
50	0	100	5	0
50	0	100	1	0
50	0	100	0	3
50	0	10	9	2
50	0	10	5	2
50	0	10	1	3
50	0	10	0	3
50	1	200	9	1
50	1	200	5	0
50	1	200	1	0
50	1	200	0	3
50	1	100	9	1
50	1	100	5	0
50	1	100	1	0
50	1	100	0	3
50	1	10	9	2
50	1	10	5	3
50	1	10	1	3
50	1	10	0	3
10	0	200	9	2
10	0	200	5	2
10	0	200	1	1
10	0	200	0	3
10	0	100	9	2
10	0	100	5	2
10	0	100	1	1
10	0	100	0	3
10	0	10	9	2
10	0	10	5	2
10	0	10	1	3
10	0	10	0	3
10	1	200	9	2
10	1	200	5	2
10	1	200	1	1
10	1	200	0	3
10	1	100	9	2
10	1	100	5	1
10	1	100	1	1
10	1	100	0	3
10	1	10	9	2
10	1	10	5	3
10	1	10	1	3
10	1	10	0	3
